,DATE,sales@t+1,,,,
,2022-02-06,575985.5384615390,,,,
,2022-02-13,577194.3076923080,,,,
,2022-02-20,578403.0769230770,,,,
,2022-02-27,579611.8461538460,,,,
,2022-03-06,580820.6153846150,,,,
,2022-03-13,582029.3846153850,,,,
,2022-03-20,583238.1538461540,,,,
,2022-03-27,584446.9230769230,,,,
,2022-04-03,585655.6923076920,,,,
,2022-04-10,586864.4615384620,,,,
,2022-04-17,588073.2307692310,,,,
,2022-04-24,589282.0,,,,
,2022-05-01,589688.1142857140,,,,
,2022-05-08,590094.2285714290,,,,
,2022-05-15,590500.3428571430,,,,
,2022-05-22,590906.4571428570,,,,
,2022-05-29,591312.5714285720,,,,
,2022-06-05,591718.6857142860,,,,
,2022-06-12,592124.8,,,,
,2022-06-19,592530.9142857140,,,,
,2022-06-26,592937.0285714290,,,,
,2022-07-03,593343.1428571430,,,,
,2022-07-10,593749.2571428570,,,,
,2022-07-17,594155.3714285710,,,,
,2022-07-24,594561.4857142860,,,,
,2022-07-31,594967.6,,,,
,2022-08-07,595373.7142857140,,,,
,2022-08-14,595779.8285714290,,,,
,2022-08-21,596185.9428571430,,,,
,2022-08-28,596592.0571428570,,,,
,2022-09-04,596998.1714285720,,,,
,2022-09-11,597404.2857142860,,,,
,2022-09-18,597810.4,,,,
,2022-09-25,598216.5142857140,,,,
,2022-10-02,598622.6285714290,,,,
,2022-10-09,599028.7428571430,,,,
,2022-10-16,599434.8571428570,,,,
,2022-10-23,599840.9714285710,,,,
,2022-10-30,600247.0857142860,,,,
,2022-11-06,600653.2,,,,
,2022-11-13,601059.3142857140,,,,
,2022-11-20,601465.4285714290,,,,
,2022-11-27,601871.5428571430,,,,
,2022-12-04,602277.6571428570,,,,
,2022-12-11,602683.7714285710,,,,
,2022-12-18,603089.8857142860,,,,
,2022-12-25,603496.0,,,,
,2023-01-01,603575.4871794870,,,,
,2023-01-08,603654.9743589740,,,,
,2023-01-15,603734.4615384620,,,,
,2023-01-22,603813.9487179490,,,,
,2023-01-29,603893.4358974360,,,,
,2023-02-05,603972.9230769230,,,,
,2023-02-12,604052.4102564100,,,,
,2023-02-19,604131.8974358970,,,,
,2023-02-26,604211.3846153850,,,,
,2023-03-05,604290.8717948720,,,,
,2023-03-12,604370.358974359,,,,
,2023-03-19,604449.8461538460,,,,
,2023-03-26,604529.3333333330,,,,
,2023-04-02,604608.8205128210,,,,
,2023-04-09,604688.3076923080,,,,
,2023-04-16,604767.7948717950,,,,
,2023-04-23,604847.282051282,,,,
,2023-04-30,604926.7692307690,,,,
,2023-05-07,605006.2564102560,,,,
,2023-05-14,605085.7435897440,,,,
,2023-05-21,605165.2307692310,,,,
,2023-05-28,605244.717948718,,,,
,2023-06-04,605324.2051282050,,,,
,2023-06-11,605403.6923076920,,,,
,2023-06-18,605483.1794871800,,,,
,2023-06-25,605562.6666666670,,,,
,2023-07-02,605642.1538461540,,,,
,2023-07-09,605721.641025641,,,,
,2023-07-16,605801.1282051280,,,,
,2023-07-23,605880.6153846150,,,,
,2023-07-30,605960.1025641030,,,,
,2023-08-06,606039.5897435900,,,,
